,furnished,price,n_mean_price,neighbourhood,n_numb_temp,temporal,n_unemployment_relative,d_numb_temp,district,d_mean_price,bedrooms,bathrooms,square_meters,elevator,age_building,balcony,parking,heating,metro,energy_ratings,flat,floor_number,real_estate_agency,n_metro_stations,n_pop,n_pop_rel,n_disposable_income,n_unemployment,n_primary_educ,n_green_areas,n_mean_n02pp,n_spanish,n_popdensity,n_mean_age_flats,n_contracts,n_retail_stores,n_services,d_pop,d_pop_rel,d_avgmonth_income,d_noise_complaints,d_crime_rate,d_without_studies,d_primary_studies,d_secondary_studies,d_baccalaureate,d_university,d_no_spec,d_num_trees,d_mean_n02pp,d_spanish,d_metro_stations,d_poverty_risk,d_unemployment,d_unemployment_relative
W-02RQT2,0,1400,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",3,1,66,1,123,1,0,0,1,E,1,Second floor,1,5,"46,52","2,84","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
ELVIS - Skyflats Barcelona,1,1030,1325,El Raval,"4,00",1,"0,01",15,Ciudad Veja,"1907,783333",2,1,60,0,NA,0,0,1,0,G,1,Fourth floor,1,5,"46,52","1,39","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
AVI000531,0,1390,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",3,2,84,1,87,1,0,1,0,D,1,Third floor,1,5,"46,52","0,87","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
RS0670,1,990,1325,El Raval,"4,00",1,"0,01",15,Ciudad Veja,"1907,783333",2,1,65,0,53,1,0,1,1,E,1,Fourth floor,1,5,"46,52","1,37","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
AHB-JT-ALQ,1,975,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,53,1,123,1,0,0,1,G,1,Second floor,1,5,"46,52","2,04","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
2672,1,1100,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",2,1,55,0,173,0,0,0,1,D,1,Second floor,1,5,"46,52","3,13","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
22228,1,1100,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,43,0,176,1,0,1,0,G,1,Fifth floor,1,5,"46,52","2,69","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
alquiler carrer de san pau,1,1200,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,55,0,173,0,0,1,0,E,1,Second floor,1,5,"46,52","2,58","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
231LEP4OMS1,1,990,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,35,0,NA,1,0,1,0,ET,1,First floor,1,5,"46,52","3,49","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
W-02RREE,0,1400,1325,El Raval,"4,00",1,"0,01",15,Ciudad Veja,"1907,783333",2,1,59,0,NA,0,0,0,1,G,1,First floor,1,5,"46,52","2,33","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
99782414,1,1800,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",2,2,70,1,0,1,0,0,1,ET,1,Second floor,1,5,"46,52","2,39","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
TA4SAP191,1,1200,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,55,1,NA,1,0,0,1,E,1,Fourth floor,1,5,"46,52","0,09","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
b-1584,1,2700,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",2,2,90,1,NA,1,0,0,1,ET,1,First floor,1,5,"46,52","1,86","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
XC119-XLR,1,1800,1325,El Raval,"4,00",1,"0,01",15,Ciudad Veja,"1907,783333",2,2,70,1,NA,1,0,0,1,ET,1,Third floor,1,5,"46,52","0,63","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
Hospital (12),1,800,1325,El Raval,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,41,1,27,1,0,1,1,E,1,Fourth floor,1,5,"46,52","0,97","12,142","4,212","0,395","0,0163",31-35,"46,6",429,114,"0,0339",21328,33400,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
AT2202011,1,1490,"2054,666667",Barrio Gótico,"4,00",1,"0,01",15,Ciudad Veja,"1907,783333",1,1,62,1,NA,1,1,1,1,E,1,First floor,1,2,"22,75","1,17","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
ANAMBAS_2B_BCN_FERRAN_47_2_2,1,1650,"2054,666667",Barrio Gótico,"4,00",1,"0,01",15,Ciudad Veja,"1907,783333",2,1,63,0,123,1,0,1,1,C,1,Second floor,1,2,"22,75","1,48","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
RS0345,1,1250,"2054,666667",Barrio Gótico,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,56,1,NA,1,0,1,1,A,1,Second floor,1,2,"22,75","2,62","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
504,1,3300,"2054,666667",Barrio Gótico,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",4,2,104,1,NA,1,0,1,1,E,1,Third floor,1,2,"22,75","2,78","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
V-165,1,1500,"2054,666667",Barrio Gótico,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,62,1,12,1,0,1,1,E,1,Fourth floor,1,2,"22,75","1,44","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
Z.HP.PR.FPD1R1-LT,1,1400,"2054,666667",Barrio Gótico,"4,00",1,"0,01",15,Ciudad Veja,"1907,783333",1,1,75,1,,1,0,1,1,ET,1,First floor,1,2,"22,75","0,72","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
100595185,1,3500,"2054,666667",Barrio Gótico,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",2,1,100,1,NA,1,0,1,1,ET,1,Third floor,1,2,"22,75","0,29","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
497,1,1850,"2054,666667",Barrio Gótico,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",2,1,63,1,NA,1,0,1,0,E,1,Third floor,1,2,"22,75","1,50","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
AB2303128-1,1,3300,"2054,666667",Barrio Gótico,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,54,1,123,1,0,1,1,B,1,Third floor,1,2,"22,75","0,98","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
91264517,1,1290,"2054,666667",Barrio Gótico,"4,00",1,"0,01",15,Ciudad Veja,"1907,783333",2,1,60,0,223,1,0,1,1,E,1,Third floor,0,2,"22,75","1,57","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
Canuda MT,1,1350,"2054,666667",Barrio Gótico,"4,00",0,"0,01",15,Ciudad Veja,"1907,783333",1,1,45,1,NA,1,0,1,1,B,1,Third floor,1,2,"22,75","2,88","16,732","1,139","0,225","0,0085",31-35,"36,14",268,124,"0,0184",1074,1115,"107,858","6,481142087","1,0582","106,7","46,76148269","0,01576805","0,21565852","0,22826469","0,20767116","0,32053773","0,01209986",6966,31,"0,47357575",10,"44,45",5673,"5,2596933"
